DispositionScore,OrbitalPeriod[days,OrbitalPeriodUpperUnc.[days,OrbitalPeriodLowerUnc.[days,TransitEpoch[BKJD,TransitEpochUpperUnc.[BKJD,TransitEpochLowerUnc.[BKJD,ImpactParamete,ImpactParameterUpperUnc,ImpactParameterLowerUnc,TransitDuration[hrs,TransitDurationUpperUnc.[hrs,TransitDurationLowerUnc.[hrs,TransitDepth[ppm,TransitDepthUpperUnc.[ppm,TransitDepthLowerUnc.[ppm,PlanetaryRadius[Earthradii,PlanetaryRadiusUpperUnc.[Earthradii,PlanetaryRadiusLowerUnc.[Earthradii,EquilibriumTemperature[K,InsolationFlux[Earthflux,InsolationFluxUpperUnc.[Earthflux,InsolationFluxLowerUnc.[Earthflux,TransitSignal-to-Nois,TCEPlanetNumbe,StellarEffectiveTemperature[K,StellarEffectiveTemperatureUpperUnc.[K,StellarEffectiveTemperatureLowerUnc.[K,StellarSurfaceGravity[log10(cm/s**2),StellarSurfaceGravityUpperUnc.[log10(cm/s**2),StellarSurfaceGravityLowerUnc.[log10(cm/s**2),StellarRadius[Solarradii,StellarRadiusUpperUnc.[Solarradii,StellarRadiusLowerUnc.[Solarradii,RA[decimaldegrees,Dec[decimaldegrees,Kepler-band[mag],ExoplanetCandidate,ExoplanetConfirmed
1.0,4.26374378,1.7e-05,-1.7e-05,133.72073,0.00307,-0.00307,0.368,0.089,-0.368,2.2725,0.0841,-0.0841,182.0,8.7,-8.7,1.28,0.3,-0.22,1179.0,457.15,318.96,-182.68,23.8,2.0,6032.0,163.0,-181.0,4.395,0.165,-0.182,0.935,0.22,-0.165,294.6467,41.884109,14.209,1,2
0.118,0.70965042,3.55e-05,-3.55e-05,131.97695,0.00567,-0.00567,0.145,0.323,-0.145,1.318,0.205,-0.205,223.0,31.0,-31.0,1.49,0.4,-0.27,2036.0,4086.46,3316.23,-1646.68,9.4,1.0,5618.0,169.0,-169.0,4.373,0.153,-0.187,1.002,0.269,-0.179,299.77228,44.363022,15.444,1,1
0.999,13.93291548,4.46e-05,-4.46e-05,139.41058,0.00258,-0.00258,0.908,0.031,-0.618,2.6239,0.0714,-0.0714,132.0,5.1,-5.1,1.66,0.29,-0.19,852.0,124.53,61.3,-35.53,28.9,1.0,6026.0,121.0,-133.0,4.321,0.088,-0.121,1.207,0.21,-0.14,289.50635,45.370998,11.538,1,2
0.0,1.576341127,2.21e-06,-2.21e-06,170.88145,0.00116,-0.00116,0.01,0.377,-0.01,3.1232,0.0396,-0.0396,335.0,4.5,-4.5,2.96,1.53,-1.53,1797.0,2460.7,3903.35,-1951.42,88.7,1.0,5087.0,151.0,-151.0,3.967,0.609,-0.261,1.666,0.861,-0.861,298.42087,44.950802,14.111,0,0
0.0,8.387210055,2.13e-06,-2.13e-06,138.903759,0.000221,-0.000221,1.284,31.34,-0.104,1.6477,0.0122,-0.0122,4950.0,33.4,-33.4,72.52,11.4,-17.1,1211.0,509.55,209.48,-227.16,180.6,1.0,6089.0,82.0,-82.0,4.044,0.182,-0.098,1.795,0.281,-0.422,290.862,38.35358,14.01,0,0
0.0,8.58966893,5.49e-05,-5.49e-05,132.01936,0.00514,-0.00514,0.012,0.266,-0.012,6.962,0.149,-0.149,430.0,10.3,-10.3,155.18,5.2,-27.8,4900.0,136317.25,23445.9,-53793.94,47.5,1.0,3837.0,90.0,-102.0,0.829,0.03,-0.03,80.307,2.693,-14.364,298.77295,46.921246,13.866,0,0
1.0,4.871223664,7.69e-06,-7.69e-06,133.64255,0.00151,-0.00151,0.706,0.066,-0.491,1.5916,0.0553,-0.0553,6460.0,152.0,-152.0,1.56,0.7,-0.23,341.0,3.18,4.16,-0.99,50.5,1.0,3157.0,75.0,-37.0,5.112,0.076,-0.123,0.18,0.081,-0.027,298.73611,46.498634,17.475,1,2
0.0,1.811461128,8.6e-08,-8.6e-08,132.9324534,3.85e-05,-3.85e-05,0.309,0.002,-0.002,8.42343,0.00471,-0.00471,922000.0,281.0,-281.0,373.77,94.9,-176.0,3438.0,33024.44,24899.8,-25312.31,3934.3,1.0,8572.0,238.0,-374.0,3.776,0.412,-0.137,3.034,0.77,-1.431,296.00156,45.448132,13.947,0,0
0.0,1.457256942,4.82e-07,-4.82e-07,131.60891,0.000331,-0.000331,0.549,0.009,-0.003,6.51381,0.00365,-0.00365,365000.0,142.0,-142.0,98.16,30.6,-17.8,2112.0,4686.52,4322.28,-2007.72,2443.8,1.0,6630.0,187.0,-258.0,4.235,0.128,-0.192,1.416,0.441,-0.257,290.47803,46.537949,14.713,0,0
0.0,0.566791802,4.15e-06,-4.15e-06,131.81736,0.0072,-0.0072,0.679,0.014,-0.536,2.2,0.155,-0.155,49.3,3.7,-3.7,0.66,0.16,-0.06,2040.0,4113.39,2967.37,-1080.33,15.6,1.0,5691.0,152.0,-169.0,4.544,0.033,-0.176,0.887,0.217,-0.078,291.76828,42.757221,14.702,0,0
0.0,1.527491117,1.28e-06,-1.28e-06,132.259806,0.000768,-0.000768,1.164,0.045,-0.034,7.9136,0.0586,-0.0586,33500.0,137.0,-137.0,27.85,2.29,-3.05,988.0,224.31,77.08,-72.12,298.6,1.0,4273.0,149.0,-164.0,4.652,0.059,-0.027,0.595,0.049,-0.065,300.00583,44.718781,15.935,0,0
0.0,0.609662423,2.2e-08,-2.2e-08,131.946514,2.99e-05,-2.99e-05,0.799,0.013,-0.012,4.24033,0.00354,-0.00354,141000.0,72.7,-72.7,110.14,26.2,-34.9,3834.0,51214.99,37515.86,-31059.11,3250.1,1.0,7498.0,235.0,-314.0,3.964,0.228,-0.152,2.274,0.54,-0.72,293.77014,46.23658,12.216,0,0
0.0,1.015044104,8.68e-06,-8.68e-06,131.56407,0.00743,-0.00743,0.984,0.009,-0.004,10.994,0.562,-0.562,158.0,10.8,-10.8,1.98,0.57,-0.38,1979.0,3627.61,3090.23,-1537.46,33.6,1.0,5910.0,160.0,-178.0,4.318,0.175,-0.193,1.124,0.326,-0.217,287.77148,38.498711,14.956,0,0
1.0,0.571038347,6.84e-07,-6.84e-07,131.653752,0.000922,-0.000922,0.876,0.025,-0.652,1.1267,0.0331,-0.0331,242.0,7.5,-7.5,1.65,0.08,-0.15,1897.0,3069.59,547.14,-696.13,38.2,1.0,5132.0,84.0,-77.0,4.457,0.096,-0.036,0.886,0.045,-0.083,291.04993,39.14167,14.098,1,2
1.0,13.0607936,0.000105,-0.000105,137.63148,0.00577,-0.00577,0.718,0.262,-0.49,3.215,0.195,-0.195,237.0,14.1,-14.1,1.45,0.38,-0.13,734.0,68.66,53.04,-17.72,19.4,2.0,5830.0,146.0,-161.0,4.54,0.044,-0.187,0.876,0.234,-0.078,290.72867,37.252651,14.246,1,2
0.0,1.33255087,1.67e-05,-1.67e-05,132.059,0.0126,-0.0126,0.415,0.033,-0.415,3.565,0.305,-0.305,123.0,10.9,-10.9,1.19,0.34,-0.2,1728.0,2107.29,1832.52,-834.0,14.0,1.0,5774.0,172.0,-190.0,4.347,0.158,-0.193,1.054,0.305,-0.178,294.53516,46.506149,15.053,0,0
0.989,11.45541896,9.72e-05,-9.72e-05,136.32524,0.00717,-0.00717,0.116,0.351,-0.116,4.95,0.222,-0.222,68.6,5.1,-5.1,1.12,0.2,-0.11,975.0,213.86,103.88,-56.26,15.8,1.0,6231.0,112.0,-137.0,4.276,0.076,-0.123,1.356,0.239,-0.139,299.707,43.622601,13.066,1,1
0.0,7.1091096,0.000378,-0.000378,133.4379,0.0366,-0.0366,0.663,0.304,-0.44,10.67,1.2,-1.2,157.0,13.3,-13.3,1.08,0.25,-0.1,855.0,126.12,87.02,-34.14,13.0,1.0,5665.0,152.0,-169.0,4.568,0.038,-0.152,0.82,0.191,-0.076,299.10294,43.69421,15.71,0,0
0.0,30.9604688,0.000491,-0.000491,156.1377,0.0132,-0.0132,1.208,39.19,-1.303,14.992,0.736,-0.736,461.0,20.5,-20.5,89.18,51.5,-70.8,1064.0,303.13,504.06,-293.06,27.1,1.0,5367.0,92.0,-322.0,3.216,1.472,-0.368,3.558,2.054,-2.824,295.07965,39.962528,13.405,0,0
0.0,1.398890216,1.11e-06,-1.11e-06,132.16558,0.000619,-0.000619,1.123,0.019,-0.092,4.9641,0.0564,-0.0564,66000.0,437.0,-437.0,57.48,16.8,-9.03,1784.0,2389.78,2123.51,-937.14,204.0,1.0,6134.0,192.0,-235.0,4.378,0.124,-0.186,1.051,0.307,-0.165,298.07645,47.512798,14.855,0,0
0.0,3.855599139,4e-06,-4e-06,170.67957,0.000863,-0.000863,0.864,0.014,-0.599,3.183,0.0616,-0.0616,1030.0,13.2,-13.2,3.57,1.0,-0.33,1158.0,425.74,349.36,-120.92,90.1,1.0,5936.0,164.0,-205.0,4.501,0.046,-0.196,0.965,0.268,-0.089,296.39542,45.56992,15.054,0,0
0.999,31.7848157,0.000101,-0.000101,135.87105,0.00269,-0.00269,0.015,0.413,-0.015,8.8077,0.0806,-0.0806,445.0,8.0,-8.0,3.55,0.54,-0.87,752.0,75.59,32.87,-36.0,57.6,3.0,5900.0,117.0,-117.0,4.022,0.195,-0.09,1.694,0.257,-0.418,289.07755,46.005219,13.988,1,2
0.229,185.103836,0.00479,-0.00479,296.7426,0.0133,-0.0133,0.019,0.45,-0.019,4.19,0.478,-0.478,581.0,65.1,-65.1,14.63,1.7,-1.7,670.0,47.72,17.11,-13.6,10.9,1.0,4992.0,109.0,-109.0,2.921,0.033,-0.027,6.226,0.724,-0.724,294.96524,44.360481,13.623,0,0
0.953,4.6318914,0.000115,-0.000115,133.7073,0.0222,-0.0222,0.395,0.076,-0.395,3.88,0.588,-0.588,50.9,6.7,-6.7,0.64,0.19,-0.06,1060.0,297.79,248.69,-82.68,9.2,1.0,5926.0,142.0,-177.0,4.532,0.036,-0.204,0.887,0.259,-0.086,295.50128,45.433979,14.272,1,1
0.998,61.858947,0.0031,-0.0031,191.9736,0.0525,-0.0525,0.621,0.038,-0.476,21.32,1.7,-1.7,70.8,9.6,-9.6,2.47,0.69,-1.5,699.0,56.48,47.84,-48.59,9.1,3.0,5529.0,168.0,-140.0,3.685,0.712,-0.178,2.817,0.789,-1.709,292.13428,46.202419,12.045,1,1
0.993,2.89223998,1.62e-05,-1.62e-05,132.86232,0.00457,-0.00457,0.017,0.431,-0.016,2.521,0.121,-0.121,44.3,2.9,-2.9,0.7,0.11,-0.1,1287.0,647.55,288.6,-202.95,17.3,4.0,5574.0,111.0,-100.0,4.354,0.132,-0.108,1.065,0.166,-0.15,285.72849,42.65453,12.639,1,2
0.0,1.956811408,1.06e-06,-1.06e-06,170.694208,0.00043,-0.00043,1.091,11.83,-0.023,2.1958,0.0257,-0.0257,24900.0,244.0,-244.0,21.58,1.33,-1.47,1109.0,357.16,100.66,-82.23,125.4,1.0,5209.0,171.0,-155.0,4.657,0.063,-0.032,0.603,0.037,-0.041,295.83536,42.943062,15.533,0,0
0.0,1.886002102,9.67e-06,-9.67e-06,131.74153,0.00458,-0.00458,0.361,0.274,-0.361,1.021,0.262,-0.262,47.4,9.5,-9.5,0.65,0.19,-0.07,1433.0,997.72,848.55,-279.28,7.6,1.0,5793.0,144.0,-173.0,4.485,0.065,-0.195,0.925,0.273,-0.091,295.39212,46.329639,14.007,0,0
0.0,112.645961,0.00103,-0.00103,182.99824,0.00874,-0.00874,1.277,6.898,-0.354,7.037,0.355,-0.355,1960.0,98.7,-98.7,35.36,11.0,-3.43,377.0,4.76,4.5,-1.43,23.3,1.0,5895.0,182.0,-223.0,4.489,0.039,-0.221,0.991,0.309,-0.096,292.55612,47.329079,15.701,0,0
0.982,30.9505927,0.000219,-0.000219,153.84507,0.00547,-0.00547,0.958,0.015,-0.665,5.394,0.208,-0.208,301.0,14.2,-14.2,1.51,0.11,-0.05,428.0,7.91,1.86,-1.14,23.2,2.0,4983.0,100.0,-100.0,4.66,0.017,-0.052,0.651,0.044,-0.024,286.75278,49.064911,14.139,1,2
1.0,1.865114193,1.01e-06,-1.01e-06,133.792344,0.000476,-0.000476,0.785,0.129,-0.541,0.4279,0.0221,-0.0221,1120.0,22.1,-22.1,0.66,0.17,-0.08,455.0,10.1,6.9,-2.42,56.9,2.0,3292.0,44.0,-24.0,5.215,0.053,-0.098,0.148,0.039,-0.017,292.21906,44.61916,15.92,1,2
0.0,48.11881255,3.44e-06,-3.44e-06,170.8396102,5.81e-05,-5.81e-05,1.079,0.02,-0.024,5.27958,0.00291,-0.00291,69900.0,37.4,-37.4,45.18,13.9,-4.67,490.0,13.6,12.3,-3.92,2145.1,1.0,6003.0,162.0,-180.0,4.536,0.05,-0.213,0.872,0.269,-0.09,295.71225,45.589771,14.474,0,0
0.55,23.9830523,0.000979,-0.000979,136.7741,0.0313,-0.0313,0.096,0.348,-0.096,8.77,1.7,-1.7,83.2,7.5,-7.5,1.17,0.33,-0.36,718.0,62.83,52.92,-35.89,11.3,2.0,5696.0,169.0,-152.0,4.178,0.312,-0.168,1.292,0.362,-0.399,298.80557,45.759998,13.863,1,1
0.0,7.12684695,5.58e-05,-5.58e-05,137.42807,0.00673,-0.00673,0.71,0.186,-0.71,3.179,0.549,-0.549,206.0,17.3,-17.3,1.38,0.35,-0.13,941.0,185.17,140.87,-49.92,20.7,1.0,6050.0,164.0,-182.0,4.525,0.044,-0.176,0.896,0.231,-0.082,285.98483,43.090912,14.8,0,0
0.655,6.41097179,8.07e-05,-8.07e-05,132.9844,0.0103,-0.0103,0.261,0.193,-0.261,2.582,0.254,-0.254,234.0,32.5,-32.5,1.4,0.32,-0.13,886.0,146.16,105.35,-42.26,8.5,1.0,5383.0,180.0,-180.0,4.486,0.055,-0.165,0.933,0.213,-0.091,296.22168,39.405762,15.631,1,1
0.0,0.643002821,7.9e-08,-7.9e-08,131.689685,0.0001,-0.0001,1.261,0.442,-0.172,1.02608,0.00661,-0.00661,2670.0,15.3,-15.3,36.82,12.4,-8.24,2188.0,5409.39,5461.2,-2486.39,295.6,1.0,5681.0,169.0,-152.0,4.315,0.22,-0.22,1.036,0.349,-0.232,289.07111,40.978809,14.984,0,0
0.0,2.858879267,5.93e-06,-5.93e-06,134.17606,0.0017,-0.0017,1.262,6.798,-0.054,2.3753,0.0827,-0.0827,645.0,20.4,-20.4,515.07,33.7,-202.0,3638.0,41379.77,8379.47,-28781.52,37.1,1.0,4893.0,71.0,-229.0,2.501,0.03,-0.027,16.274,1.065,-6.391,291.01529,37.96777,12.529,0,0
0.488,2.819453322,1.83e-06,-1.83e-06,133.870141,0.00054,-0.00054,0.532,0.021,-0.027,4.4127,0.0411,-0.0411,71900.0,443.0,-443.0,29.8,8.46,-5.63,1357.0,803.4,669.34,-329.56,202.0,1.0,5767.0,155.0,-155.0,4.33,0.18,-0.18,1.074,0.305,-0.203,284.664,43.98502,14.569,0,0
0.002,16.02501898,8.5e-06,-8.5e-06,367.693328,0.000328,-0.000328,13.239,66.18,-10.17,3.8828,0.015,-0.015,29100.0,132.0,-132.0,1069.01,278.0,-92.1,657.0,44.01,35.5,-11.86,257.8,1.0,5776.0,190.0,-190.0,4.582,0.042,-0.168,0.789,0.205,-0.068,296.47937,39.127571,15.484,0,0
0.0,26.94927489,2.29e-05,-2.29e-05,177.968689,0.000688,-0.000688,0.438,0.025,-0.041,10.6977,0.064,-0.064,20000.0,56.6,-56.6,7.37,0.36,-0.46,395.0,5.78,1.4,-1.36,415.7,1.0,4723.0,145.0,-162.0,4.741,0.045,-0.024,0.512,0.025,-0.032,291.56332,40.26778,13.771,0,0
0.0,0.655094658,2.39e-06,-2.39e-06,131.78278,0.00299,-0.00299,1.22,0.049,-0.15,6.159,0.685,-0.685,372.0,154.0,-154.0,26.41,7.46,-2.97,2173.0,5290.98,4424.94,-1675.26,59.5,1.0,6063.0,169.0,-211.0,4.476,0.048,-0.192,1.012,0.286,-0.114,297.01382,43.72493,15.543,0,0
1.0,7.41834569,6.47e-05,-6.47e-05,133.51738,0.00742,-0.00742,0.049,0.413,-0.049,2.462,0.215,-0.215,234.0,24.1,-24.1,1.12,0.21,-0.09,800.0,96.9,56.43,-24.2,11.2,2.0,5549.0,163.0,-163.0,4.6,0.045,-0.113,0.732,0.137,-0.059,292.95819,42.854889,15.717,1,1
0.208,462.463589,0.00695,-0.00695,583.10723,0.00745,-0.00745,0.386,0.067,-0.386,5.007,0.324,-0.324,1020.0,87.7,-87.7,8.92,5.19,-6.33,355.0,3.78,6.63,-3.49,13.2,1.0,5059.0,126.0,-113.0,3.466,1.057,-0.352,2.799,1.626,-1.988,290.48471,51.72855,13.993,0,0
0.0,21.4618453,0.000296,-0.000296,132.2156,0.0105,-0.0105,1.139,74.89,-1.953,5.675,0.551,-0.551,122.0,11.3,-11.3,19.89,3.18,-2.87,722.0,64.17,28.59,-20.85,13.4,1.0,5806.0,105.0,-117.0,4.283,0.132,-0.108,1.213,0.194,-0.175,294.91699,45.680679,13.798,0,0
0.872,15.3902613,0.000263,-0.000263,140.8602,0.0113,-0.0113,0.231,0.224,-0.231,3.431,0.395,-0.395,76.8,9.5,-9.5,4.39,0.55,-1.66,1459.0,1069.24,352.78,-687.63,9.4,1.0,5649.0,67.0,-109.0,3.282,0.255,-0.085,4.994,0.631,-1.892,291.79575,44.746181,13.808,1,1
0.0,9.06557317,2.63e-05,-2.63e-05,135.15009,0.00236,-0.00236,0.432,0.04,-0.432,1.6208,0.0743,-0.0743,243.0,12.1,-12.1,1.46,0.42,-0.14,880.0,141.9,118.72,-38.99,24.9,1.0,6075.0,164.0,-182.0,4.51,0.05,-0.2,0.916,0.261,-0.087,287.79138,42.574108,14.005,0,0
0.0,0.730943372,4.18e-06,-4.18e-06,131.49862,0.00458,-0.00458,0.792,0.162,-0.545,3.004,0.117,-0.117,135.0,6.1,-6.1,1.37,0.44,-0.2,2190.0,5461.14,5439.02,-2061.35,27.0,1.0,6143.0,193.0,-257.0,4.418,0.072,-0.217,1.067,0.35,-0.15,289.7934,38.385078,15.021,0,0
0.986,11.94019101,7.1e-05,-7.1e-05,136.55603,0.00483,-0.00483,0.348,0.114,-0.348,2.866,0.163,-0.163,632.0,45.7,-45.7,1.86,0.24,-0.12,625.0,35.99,16.45,-8.17,15.6,1.0,5073.0,168.0,-152.0,4.607,0.024,-0.084,0.748,0.098,-0.049,287.52203,51.375858,15.912,1,2
0.0,12.26486736,3e-06,-3e-06,139.304999,0.000198,-0.000198,0.818,0.003,-0.003,4.7366,0.0149,-0.0149,11300.0,25.6,-25.6,28.29,4.52,-9.04,1077.0,317.89,137.57,-178.64,560.2,1.0,5372.0,85.0,-74.0,3.81,0.232,-0.077,2.344,0.375,-0.749,284.64886,41.015018,14.137,0,0
0.086,137.396194,0.00613,-0.00613,158.9242,0.0334,-0.0334,0.525,0.453,-0.311,17.61,1.4,-1.4,155.0,13.6,-13.6,3.38,1.0,-2.16,517.0,16.87,15.3,-14.9,13.2,1.0,5425.0,177.0,-145.0,3.704,0.784,-0.196,2.655,0.783,-1.697,280.52133,43.077068,13.668,1,1
0.001,2.74703312,1.09e-05,-1.09e-05,131.79105,0.00344,-0.00344,1.17,7.131,-1.028,2.655,0.218,-0.218,152.0,9.0,-9.0,61.97,12.5,-29.3,2917.0,17132.06,10101.06,-13157.54,23.1,1.0,8237.0,198.0,-368.0,3.753,0.451,-0.106,3.134,0.634,-1.48,298.70694,48.10091,12.597,0,0
0.917,8.85686712,2.76e-05,-2.76e-05,134.13633,0.00227,-0.00227,0.923,0.053,-0.638,0.606,0.0891,-0.0891,319.0,30.0,-30.0,1.88,0.18,-0.21,714.0,61.54,22.17,-17.78,11.9,2.0,5017.0,151.0,-136.0,4.516,0.075,-0.067,0.797,0.079,-0.087,292.4404,43.209431,14.589,1,1
0.0,0.591914504,4.62e-07,-4.62e-07,355.353791,0.000563,-0.000563,1.344,4.781,-0.027,1.0225,0.0395,-0.0395,1060.0,25.3,-25.3,27.21,3.61,-1.96,1646.0,1746.78,834.73,-446.58,56.3,1.0,5122.0,184.0,-184.0,4.659,0.033,-0.077,0.655,0.087,-0.047,298.20035,41.011688,15.643,0,0
0.0,0.537110149,8.79e-07,-8.79e-07,131.55982,0.0017,-0.0017,1.106,0.583,0.0,1.7976,0.0728,-0.0728,92.0,2.8,-2.8,32.19,6.94,-11.3,3195.0,24545.75,16695.42,-15475.21,41.1,1.0,5395.0,176.0,-176.0,3.739,0.26,-0.14,2.537,0.547,-0.889,291.69067,41.332878,13.078,0,0
0.816,25.0823402,0.000121,-0.000121,134.13568,0.00421,-0.00421,0.865,0.039,-0.611,6.423,0.114,-0.114,245.0,8.8,-8.8,2.26,0.59,-0.49,776.0,85.76,67.71,-40.24,30.5,1.0,6429.0,181.0,-227.0,4.241,0.18,-0.18,1.262,0.335,-0.274,284.978,41.420158,13.838,1,2
1.0,2.229326354,6.27e-06,-6.27e-06,133.09423,0.00239,-0.00239,0.249,0.206,-0.249,1.9946,0.0708,-0.0708,49.1,2.3,-2.3,0.6,0.08,-0.03,1273.0,621.53,230.43,-111.96,24.6,1.0,5587.0,110.0,-110.0,4.525,0.035,-0.105,0.865,0.109,-0.05,290.7037,43.607208,10.687,1,1
0.0,17.52782681,1.1e-06,-1.1e-06,144.5700534,5.04e-05,-5.04e-05,0.567,0.007,-0.009,5.78491,0.00262,-0.00262,348000.0,102.0,-102.0,49.36,4.85,-4.39,554.0,22.31,7.95,-5.69,2450.1,1.0,5079.0,151.0,-136.0,4.579,0.05,-0.05,0.732,0.072,-0.065,294.27908,41.436901,12.534,0,0
1.0,11.77613232,6.96e-06,-6.96e-06,142.705753,0.000498,-0.000498,0.54,0.266,-0.335,2.8971,0.0261,-0.0261,1430.0,9.6,-9.6,2.08,0.13,-0.12,446.0,9.37,2.04,-1.75,163.5,1.0,3980.0,79.0,-79.0,4.722,0.03,-0.033,0.54,0.033,-0.033,294.12143,48.349522,13.738,1,2
0.998,35.6757453,0.000353,-0.000353,145.00717,0.00721,-0.00721,0.61,0.31,-0.39,7.381,0.234,-0.234,471.0,25.7,-25.7,3.02,0.51,-0.51,671.0,47.96,23.0,-17.42,18.5,2.0,6157.0,123.0,-123.0,4.224,0.149,-0.108,1.33,0.225,-0.225,292.47971,38.514919,15.319,1,2
0.954,6.87778029,9.03e-05,-9.03e-05,133.04176,0.00893,-0.00893,0.08,0.365,-0.079,3.199,0.262,-0.262,124.0,14.6,-14.6,1.19,0.4,-0.14,1052.0,289.51,290.38,-91.78,10.1,1.0,6274.0,174.0,-218.0,4.434,0.056,-0.224,1.062,0.361,-0.12,290.00784,43.502129,15.099,1,1
0.0,73.992267,0.00194,-0.00194,143.4283,0.0202,-0.0202,0.446,0.539,-0.247,5.692,0.795,-0.795,226.0,44.5,-44.5,2.86,1.38,-1.68,546.0,20.98,33.3,-17.85,7.9,1.0,5271.0,222.0,-167.0,3.878,0.665,-0.285,1.895,0.912,-1.114,293.22186,39.430443,13.791,0,0
1.0,0.813166357,1.4e-06,-1.4e-06,131.82536,0.00149,-0.00149,0.06,0.399,-0.06,1.4122,0.0501,-0.0501,174.0,6.2,-6.2,1.14,0.1,-0.06,1693.0,1945.44,463.14,-317.76,34.8,1.0,5237.0,73.0,-84.0,4.5,0.048,-0.072,0.887,0.073,-0.049,287.94562,39.230572,14.113,1,2
0.485,65.6480892,0.000549,-0.000549,173.30166,0.00665,-0.00665,0.949,0.011,-0.678,5.746,0.231,-0.231,589.0,30.9,-30.9,3.93,0.57,-0.69,485.0,13.04,4.95,-4.7,22.0,1.0,5565.0,75.0,-83.0,4.251,0.149,-0.108,1.246,0.179,-0.219,292.2478,47.878448,14.872,1,2
0.0,40.8801539,0.000992,-0.000992,163.3624,0.0191,-0.0191,0.016,0.442,-0.016,5.472,0.494,-0.494,396.0,46.0,-46.0,0.92,0.06,-0.07,265.0,1.17,0.23,-0.23,10.0,1.0,3746.0,59.0,-59.0,4.775,0.042,-0.025,0.469,0.028,-0.035,292.36017,42.38184,15.943,0,0
1.0,10.08881066,1.18e-05,-1.18e-05,173.083353,0.000921,-0.000921,0.921,0.028,-0.654,1.7726,0.0874,-0.0874,2000.0,43.9,-43.9,4.71,1.04,-0.35,734.0,68.62,46.54,-16.52,51.4,1.0,5431.0,164.0,-164.0,4.563,0.029,-0.152,0.843,0.186,-0.062,287.9061,46.937771,15.063,1,2
0.0,89.7398137,2.28e-05,-2.28e-05,205.26465,0.000114,-0.000114,1.026,0.122,-0.065,3.26371,0.00669,-0.00669,81100.0,237.0,-237.0,38.01,8.29,-3.11,363.0,4.1,2.68,-1.0,296.0,1.0,5777.0,157.0,-157.0,4.608,0.036,-0.144,0.747,0.163,-0.061,296.86246,46.54549,14.294,0,0
0.753,71.10684,0.00174,-0.00174,176.7154,0.0178,-0.0178,0.466,0.34,-0.318,6.933,0.462,-0.462,128.0,13.9,-13.9,1.42,0.45,-0.24,523.0,17.68,16.44,-7.09,10.5,1.0,6339.0,177.0,-221.0,4.315,0.108,-0.201,1.224,0.385,-0.207,290.03943,50.768501,13.74,1,1
1.0,3.573202801,9e-07,-9e-07,134.934397,0.000206,-0.000206,0.053,0.227,-0.053,2.88,0.0114,-0.0114,2980.0,9.7,-9.7,5.81,1.6,-0.94,1210.0,507.91,442.5,-203.01,362.1,1.0,5646.0,200.0,-220.0,4.37,0.128,-0.192,1.08,0.298,-0.174,290.76587,38.927959,14.72,1,2
0.0,0.733726452,6.06e-06,-6.06e-06,132.02005,0.00795,-0.00795,0.291,0.193,-0.291,2.309,0.282,-0.282,115.0,9.3,-9.3,0.86,0.23,-0.06,1867.0,2891.64,2253.61,-677.78,13.8,1.0,5855.0,158.0,-175.0,4.578,0.033,-0.187,0.797,0.211,-0.056,284.50391,42.46386,15.77,0,0
0.0,3.374684854,6.16e-07,-6.16e-07,131.769948,0.000129,-0.000129,1.04,0.04,-0.038,4.48335,0.00772,-0.00772,80900.0,152.0,-152.0,49.25,13.8,-4.6,1163.0,432.73,369.17,-128.36,658.3,1.0,5754.0,180.0,-220.0,4.514,0.036,-0.192,0.943,0.264,-0.088,297.66129,47.62394,15.746,0,0
0.0,2.31164074,1.05e-05,-1.05e-05,132.12133,0.0029,-0.0029,0.252,0.194,-0.251,2.317,0.126,-0.126,489.0,24.8,-24.8,39.73,1.66,-14.9,4074.0,65140.27,10541.54,-43990.64,24.6,1.0,4883.0,84.0,-219.0,2.439,0.035,-0.031,18.427,0.769,-6.918,287.8613,38.372292,13.041,0,0
0.001,3.664964374,9.99e-07,-9.99e-07,134.152879,0.000236,-0.000236,0.552,0.016,-0.002,3.9058,0.0157,-0.0157,90800.0,280.0,-280.0,30.98,8.78,-4.74,1184.0,464.89,400.4,-174.95,437.8,1.0,5726.0,177.0,-197.0,4.403,0.128,-0.192,0.987,0.28,-0.151,282.68491,41.587959,15.643,0,0
0.99,288.3128666,0.000507,-0.000507,374.79958,0.00125,-0.00125,0.525,0.062,-0.358,5.419,0.109,-0.109,11200.0,131.0,-131.0,13.21,2.07,-2.3,300.0,1.93,0.79,-0.68,96.8,1.0,5672.0,76.0,-76.0,4.252,0.162,-0.108,1.22,0.191,-0.212,295.20694,45.09819,15.999,1,1
0.789,50.271927,0.00113,-0.00113,160.466,0.0177,-0.0177,0.205,0.246,-0.205,6.073,0.514,-0.514,575.0,67.7,-67.7,2.94,0.88,-0.38,589.0,28.51,24.34,-10.19,9.3,1.0,6520.0,158.0,-270.0,4.375,0.062,-0.188,1.215,0.362,-0.155,292.40063,38.134579,15.923,1,1
0.0,0.939375593,2.49e-07,-2.49e-07,132.016859,0.00022,-0.00022,0.987,0.057,-0.05,2.8424,0.0138,-0.0138,101000.0,386.0,-386.0,52.18,15.6,-11.7,1936.0,3333.58,2990.01,-1555.12,317.3,1.0,5826.0,174.0,-174.0,4.345,0.205,-0.205,0.978,0.292,-0.219,295.56934,38.726059,14.904,0,0
