DispositionScore,OrbitalPeriod[days,OrbitalPeriodUpperUnc.[days,OrbitalPeriodLowerUnc.[days,TransitEpoch[BKJD,TransitEpochUpperUnc.[BKJD,TransitEpochLowerUnc.[BKJD,ImpactParamete,ImpactParameterUpperUnc,ImpactParameterLowerUnc,TransitDuration[hrs,TransitDurationUpperUnc.[hrs,TransitDurationLowerUnc.[hrs,TransitDepth[ppm,TransitDepthUpperUnc.[ppm,TransitDepthLowerUnc.[ppm,PlanetaryRadius[Earthradii,PlanetaryRadiusUpperUnc.[Earthradii,PlanetaryRadiusLowerUnc.[Earthradii,EquilibriumTemperature[K,InsolationFlux[Earthflux,InsolationFluxUpperUnc.[Earthflux,InsolationFluxLowerUnc.[Earthflux,TransitSignal-to-Nois,TCEPlanetNumbe,StellarEffectiveTemperature[K,StellarEffectiveTemperatureUpperUnc.[K,StellarEffectiveTemperatureLowerUnc.[K,StellarSurfaceGravity[log10(cm/s**2),StellarSurfaceGravityUpperUnc.[log10(cm/s**2),StellarSurfaceGravityLowerUnc.[log10(cm/s**2),StellarRadius[Solarradii,StellarRadiusUpperUnc.[Solarradii,StellarRadiusLowerUnc.[Solarradii,RA[decimaldegrees,Dec[decimaldegrees,Kepler-band[mag],ExoplanetCandidate,ExoplanetConfirmed
0.998,124.0358994,9.13e-05,-9.13e-05,136.015098,0.00065,-0.00065,0.075,0.175,-0.075,4.8472,0.0278,-0.0278,7690.0,47.1,-47.1,11.13,1.8,-1.8,413.0,6.88,2.93,-2.3,190.1,1.0,5822.0,79.0,-79.0,4.244,0.143,-0.104,1.28,0.207,-0.207,287.97031,47.972099,14.989,1,1
0.0,3.5565617,8.51e-05,-8.51e-05,133.522,0.0185,-0.0185,0.262,0.204,-0.262,6.691,0.54,-0.54,68.0,8.3,-8.3,0.52,0.04,-0.05,883.0,143.89,47.29,-37.6,10.0,1.0,4964.0,148.0,-148.0,4.628,0.065,-0.035,0.633,0.055,-0.055,297.09915,46.243511,15.191,0,0
0.984,33.3726538,0.000548,-0.000548,153.5967,0.0152,-0.0152,0.038,0.427,-0.038,3.663,0.416,-0.416,618.0,73.2,-73.2,1.95,0.43,-0.15,491.0,13.7,9.31,-3.42,10.1,1.0,5504.0,166.0,-166.0,4.583,0.036,-0.144,0.796,0.176,-0.063,296.01883,40.108009,15.986,1,1
0.895,28.55158187,8.92e-05,-8.92e-05,185.47672,0.00245,-0.00245,0.623,0.272,-0.403,4.1502,0.0837,-0.0837,808.0,24.1,-24.1,1.97,0.16,-0.17,418.0,7.21,2.16,-1.9,36.0,2.0,4621.0,124.0,-137.0,4.605,0.052,-0.028,0.668,0.054,-0.059,284.03223,39.78133,14.427,1,2
1.0,6.0404622,3.13e-05,-3.13e-05,172.59327,0.00398,-0.00398,0.508,0.431,-0.294,1.98,0.128,-0.128,241.0,18.3,-18.3,1.3,0.11,-0.05,841.0,118.56,30.58,-18.81,14.9,2.0,5297.0,95.0,-116.0,4.578,0.014,-0.081,0.825,0.068,-0.034,285.43915,43.16848,13.283,1,2
0.0,1.75649346,1.72e-05,-1.72e-05,132.01087,0.00936,-0.00936,0.242,0.234,-0.242,3.429,0.318,-0.318,27.5,2.4,-2.4,1.62,0.28,-0.84,2745.0,13425.76,7168.27,-10763.11,13.3,1.0,6619.0,182.0,-250.0,3.718,0.501,-0.088,3.05,0.528,-1.583,295.77768,50.149025,13.306,0,0
0.0,178.4129899,3.1e-05,-3.1e-05,218.225235,0.000127,-0.000127,0.936,0.093,-0.046,2.9298,0.0124,-0.0124,37500.0,100.0,-100.0,33.24,5.85,-3.59,361.0,4.0,2.0,-1.09,535.1,1.0,6078.0,122.0,-134.0,4.346,0.084,-0.126,1.148,0.202,-0.124,288.32785,38.627621,13.944,0,0
1.0,40.1097817,0.000141,-0.000141,142.08227,0.00285,-0.00285,0.016,0.432,-0.016,5.2096,0.0869,-0.0869,732.0,20.8,-20.8,3.11,0.48,-0.54,556.0,22.65,9.49,-7.96,40.3,1.0,5509.0,82.0,-71.0,4.265,0.168,-0.112,1.169,0.183,-0.203,289.73169,46.953819,14.904,1,2
0.967,0.694611128,3.74e-06,-3.74e-06,131.93244,0.00414,-0.00414,0.176,0.283,-0.176,1.115,0.152,-0.152,98.8,13.7,-13.7,0.64,0.06,-0.04,1415.0,945.45,318.96,-218.14,9.3,1.0,4612.0,124.0,-138.0,4.646,0.024,-0.052,0.662,0.064,-0.045,286.31052,44.838188,15.7,1,1
0.0,10.06468789,1.92e-06,-1.92e-06,135.251088,0.000157,-0.000157,1.261,0.066,-0.063,3.59854,0.00746,-0.00746,10100.0,18.5,-18.5,30.11,3.2,-3.21,679.0,50.11,18.95,-14.25,585.4,1.0,5185.0,156.0,-140.0,4.571,0.077,-0.056,0.705,0.075,-0.075,288.9664,44.35693,14.674,0,0
0.0,0.618060842,5.39e-06,-5.39e-06,131.63533,0.00846,-0.00846,0.944,0.042,-0.719,1.892,0.231,-0.231,25.1,3.2,-3.2,0.51,0.08,-0.07,1854.0,2791.09,1445.75,-907.84,9.6,1.0,5339.0,160.0,-144.0,4.503,0.099,-0.11,0.793,0.128,-0.105,299.9982,40.550259,13.426,0,0
0.0,1.009671584,8.9e-08,-8.9e-08,131.5869372,7.26e-05,-7.26e-05,0.864,0.02,-0.021,4.37759,0.00426,-0.00426,155000.0,98.9,-98.9,125.31,27.2,-40.7,3287.0,27692.04,18019.48,-17038.38,1440.7,1.0,7652.0,211.0,-316.0,3.974,0.234,-0.136,2.242,0.486,-0.729,286.29077,47.076221,13.918,0,0
0.0,57.0599992,1.7e-05,-1.7e-05,164.25706,0.000251,-0.000251,0.194,0.026,-0.039,7.463,0.018,-0.018,66200.0,106.0,-106.0,22.31,5.61,-2.1,455.0,10.11,7.52,-2.76,751.5,1.0,5931.0,161.0,-178.0,4.545,0.04,-0.16,0.863,0.217,-0.081,287.34946,38.286041,15.936,0,0
0.997,4.88698386,2.44e-05,-2.44e-05,132.8804,0.00421,-0.00421,0.661,0.287,-0.432,1.127,0.168,-0.168,125.0,16.1,-16.1,1.2,0.41,-0.13,1133.0,389.31,399.27,-131.06,10.1,1.0,6152.0,193.0,-257.0,4.464,0.058,-0.232,1.009,0.341,-0.114,289.60522,43.952831,13.873,1,1
1.0,6.65171459,5.75e-05,-5.75e-05,137.6781,0.00785,-0.00785,0.408,0.051,-0.408,2.325,0.239,-0.239,152.0,17.5,-17.5,0.84,0.09,-0.06,713.0,61.01,23.23,-13.82,10.0,2.0,4889.0,146.0,-131.0,4.637,0.032,-0.059,0.686,0.074,-0.049,290.26028,38.354988,14.976,1,1
0.56,19.2405821,0.000794,-0.000794,138.7454,0.03,-0.03,0.258,0.212,-0.258,4.99,0.58,-0.58,207.0,26.8,-26.8,1.19,0.06,-0.09,565.0,24.17,4.0,-4.81,9.0,1.0,5031.0,83.0,-75.0,4.485,0.08,-0.025,0.848,0.038,-0.066,300.90247,44.61261,15.099,1,1
0.0,14.46993942,8.97e-05,-8.97e-05,141.81105,0.00582,-0.00582,1.027,43.29,-0.044,7.455,0.205,-0.205,1240.0,34.8,-34.8,85.84,9.85,-13.5,1713.0,2033.61,724.84,-728.2,41.9,1.0,4735.0,105.0,-117.0,2.715,0.03,-0.03,9.043,1.037,-1.426,290.22916,37.76141,14.962,0,0
0.998,47.4277116,0.000129,-0.000129,216.55737,0.00205,-0.00205,0.678,0.197,-0.461,5.2679,0.0775,-0.0775,820.0,17.5,-17.5,2.33,0.17,-0.12,407.0,6.46,1.54,-1.1,49.9,1.0,5132.0,102.0,-102.0,4.571,0.032,-0.052,0.77,0.054,-0.04,284.96851,42.079201,14.157,1,2
0.881,289.864067,0.00121,-0.00121,133.69719,0.00214,-0.00214,0.856,0.043,-0.649,7.565,0.108,-0.108,529.0,10.5,-10.5,2.34,0.22,-0.23,257.0,1.03,0.26,-0.24,57.4,1.0,5516.0,82.0,-74.0,4.446,0.104,-0.064,0.886,0.08,-0.089,289.2175,47.88446,11.664,1,2
1.0,17.23232894,3.57e-05,-3.57e-05,135.0922,0.00168,-0.00168,0.395,0.096,-0.348,4.5568,0.0508,-0.0508,510.0,8.6,-8.6,2.79,0.45,-0.41,817.0,105.47,50.25,-35.25,64.1,1.0,6086.0,133.0,-133.0,4.274,0.137,-0.112,1.216,0.199,-0.179,296.99863,42.78196,14.061,1,2
0.0,0.96807117,4.9e-06,-4.9e-06,132.44697,0.00502,-0.00502,0.53,0.025,-0.468,1.677,0.124,-0.124,105.0,8.1,-8.1,0.72,0.12,-0.05,1487.0,1157.58,577.08,-273.07,15.4,2.0,5367.0,160.0,-160.0,4.639,0.032,-0.091,0.687,0.106,-0.049,300.23587,44.76952,15.247,0,0
0.974,41.40831669,6.58e-06,-6.58e-06,195.78745,0.000123,-0.000123,0.377,0.016,-0.029,5.0264,0.0136,-0.0136,22800.0,31.4,-31.4,11.38,2.07,-1.04,453.0,9.93,5.69,-2.57,907.8,1.0,5522.0,165.0,-148.0,4.586,0.048,-0.112,0.747,0.136,-0.068,291.76041,41.944069,15.196,1,2
0.0,14.31315739,7.8e-07,-7.8e-07,138.2205171,4.47e-05,-4.47e-05,0.004,0.008,-0.004,8.90236,0.00138,-0.00138,21600.0,5.8,-5.8,34.98,8.04,-8.05,1144.0,404.48,240.82,-178.65,4262.9,1.0,5750.0,77.0,-86.0,3.703,0.162,-0.108,2.379,0.547,-0.547,292.08383,41.915031,13.254,0,0
0.0,3.62944008,1.21e-07,-1.21e-07,134.701164,2.76e-05,-2.76e-05,0.253,0.015,-0.004,5.94104,0.00389,-0.00389,130000.0,29.5,-29.5,40.08,12.0,-6.45,1351.0,787.91,690.91,-296.76,5131.4,1.0,6284.0,169.0,-188.0,4.355,0.108,-0.186,1.093,0.327,-0.176,296.29739,44.333,12.789,0,0
1.0,1.922799706,4.69e-06,-4.69e-06,134.50174,0.00199,-0.00199,0.036,0.439,-0.036,1.8604,0.0654,-0.0654,260.0,10.2,-10.2,1.28,0.11,-0.05,1215.0,514.44,122.17,-70.37,30.1,1.0,5194.0,72.0,-83.0,4.559,0.022,-0.072,0.815,0.067,-0.033,285.61746,39.379532,14.829,1,2
1.0,18.0939004,0.000229,-0.000229,139.01706,0.0099,-0.0099,0.445,0.026,-0.445,3.294,0.333,-0.333,467.0,48.0,-48.0,1.91,0.48,-0.16,665.0,46.21,33.38,-11.92,11.6,1.0,5904.0,142.0,-178.0,4.543,0.044,-0.176,0.867,0.218,-0.073,286.50211,50.246189,15.739,1,1
0.992,2.49385348,1.18e-05,-1.18e-05,133.15177,0.00372,-0.00372,0.331,0.12,-0.331,1.414,0.116,-0.116,46.9,4.7,-4.7,0.59,0.06,-0.05,1251.0,579.64,184.26,-131.64,12.3,1.0,5615.0,112.0,-112.0,4.477,0.088,-0.072,0.85,0.088,-0.072,282.63617,43.3661,13.03,1,1
